Ingrediet Name,Ingredient Parent Name
Salt,Salt
Oil,Oil
Red chilli powder, chilli 
Turmeric powder,Turmeric 
Sugar,Sugar
Cumin seeds,Cumin 
Lemon juice,Juice
Butter,Butter
Milk,Milk
Refined flour (maida),Maida
Fresh coriander leaves chopped,Coriander
Ghee,Ghee
Garam masala powder,Masala
Crushed black peppercorns,Peppercorn
Garlic chopped,Garlic 
Yogurt,Yogurt
Coriander powder,Coriander 
Eggs,Egg
Olive oil,Oil
Mustard seeds,Mustard 
Asafoetida,Asafoetida
Curry leaves,Curry 
Cloves,Clove
Green cardamom powder, cardamom 
Green chillies, chilli
Ginger-garlic paste,Paste
Fresh cream,Cream
Black peppercorns,Peppercorn
Black pepper powder,Pepper
Ginger chopped,Ginger 
Cumin powder,Cumin 
Green chillies chopped, chilli 
Cinnamon,Cinnamon
Chaat masala,Masala
Vanilla essence,Essence
Baking powder,Baking 
Castor sugar (caster sugar),Sugar
Green chillies finely chopped,Chilli
Onion finely chopped,Onion
Garlic cloves,Clove
Ginger finely chopped,Ginger
Ginger,Ginger
Gram flour (besan),Besan
Red chilli flakes,Flake
Black peppercorns crushed,Crushed
Green cardamoms, cardamom
Cornflour/ corn starch,Starch
Fresh coriander leaves,Coriander
Ginger paste,Paste
Garlic,Garlic
Onion,Onion
Onion chopped,Onion 
Honey,Honey
Garlic paste,Paste
Vinegar,Vinegar
Soy sauce,Sauce
Egg,Egg
Tomato ketchup,Ketchup
Garlic finely chopped,Garlic
Coriander seeds,Coriander 
Onions chopped,Onion 
Fresh mint leaves,Mint
Dried red chillies,Dried
Vegetable stock,Stock
Lemon,Lemon
Extra virgin olive oil,Oil
Baking soda,Baking
Cinnamon powder,Cinnamon 
Tomato puree,Puree
Raisins,Raisin
Onions,Onion
White pepper powder,Pepper
Powdered sugar,Sugar
Coconut milk,Milk
Tamarind pulp,Pulp
Carom seeds (ajwain),Carom
Fresh coriander leaves finely chopped,Coriander
Green chillies slit,Slit
Red chilli sauce,Sauce
Tomatoes,Tomato
Bay leaves,Bay 
Brown sugar,Sugar
Fenugreek seeds (methi dana),Dana
Fennel seeds (saunf),Saunf
Processed cheese grated,Grated
Juice of ½ lemon,Juice
Rice flour,Flour
Green chutney, chutney
Whole wheat flour (atta),Flour
Saffron (kesar),Kesar
Onions finely chopped,Onion
Castor sugar,Sugar
Bay leaf,Bay 
Cashewnuts,Cashewnuts
Tomatoes chopped,Tomato 
Chicken stock,Stock
Ice cubes,Cube
Fresh basil leaves,Basil
Fresh coriander sprigs,Sprig
Roasted cumin powder,Cumin
Cream,Cream
Cocoa powder,Cocoa 
Coconut scraped,Scraped
Onion sliced,Sliced
Green capsicum, capsicum
Onions sliced,Sliced
Refined flour,Flour
Jaggery (gur) grated,Grated
Hung yogurt,Yogurt
Orange juice,Juice
Soda bicarbonate,Bicarbonate
Black salt (kala namak),Namak
Mustard oil,Oil
Refined Flour,Flour
Scraped coconut,Scraped
Mozzarella cheese grated,Grated
Mayonnaise,Mayonnaise
Icing sugar,Sugar
Bread crumbs,Crumb
Fresh mint sprigs,Sprig
Green peas, pea
Spring onion greens chopped,Onion
Green chilli paste,Paste
Whipped cream,Cream
Rice,Rice
Sea salt,Salt
Fresh parsley chopped,Parsley
Almonds,Almond
Dried red chillies broken,Broken
Nutmeg powder,Nutmeg 
Juice of 1 lemon,Juice
Garlic cloves chopped,Clove
Condensed milk,Milk
Red capsicum, capsicum
Tomato,Tomato
